Month,Avg_Sent_Score
January,0.4247362848893167
February,0.39583923841059554
March,0.39756562500000003
April,-0.05626081081081085
May,-0.16357628865979393
June,-0.10766798029556654
July,-0.054655392156862714
August,0.03706800000000002
September,-0.01198385416666665
October,-0.06005733333333331
November,-0.08479733333333335
December,-0.07526428571428573
